timestamp,alpha,normalization,embedding_model,ndcg_10,recall_10,mrr_10,num_queries,commit_hash
2026-03-13T14:39:02.977738+00:00,0.5,minmax,all-MiniLM-L6-v2,0.3605,0.276,0.5815,25,fc94a71
2026-03-13T14:39:57.074802+00:00,0.2,minmax,all-MiniLM-L6-v2,0.2175,0.172,0.4251,25,fc94a71
2026-03-13T14:41:26.832591+00:00,0.8,minmax,all-MiniLM-L6-v2,0.3773,0.276,0.606,25,fc94a71
2026-03-13T14:42:53.272997+00:00,1.0,minmax,all-MiniLM-L6-v2,0.3717,0.272,0.6394,25,fc94a71
2026-03-13T14:43:39.529844+00:00,0.0,minmax,all-MiniLM-L6-v2,0.1201,0.104,0.253,25,fc94a71
